date,pred
09-18-2018,-2
11-16-2017,-9
04-22-2022,-3
07-20-2020,1
05-02-2024,-14
10-19-2016,-6
10-03-2018,-7
01-30-2022,-9
03-29-2022,-13
06-03-2019,-9
05-08-2019,-2
03-29-2022,-14
05-11-2023,-3
04-08-2019,0
08-09-2018,2
10-04-2018,-6
01-09-2020,-8
03-15-2024,-2
01-30-2021,-13
09-21-2019,-2
06-10-2017,2
08-12-2021,-3
10-19-2018,-6
12-11-2023,-16
11-03-2019,-15
04-15-2023,-9
04-13-2024,-16
01-14-2024,-17
10-12-2018,-2
08-10-2021,2
06-27-2023,-12
06-16-2017,-3
06-23-2019,-3
12-22-2020,-18
11-29-2017,-4
09-06-2021,-11
07-18-2019,3
09-25-2019,-8
03-10-2021,-9
12-18-2018,-2
01-20-2021,-15
12-14-2023,-13
10-26-2021,-8
04-17-2020,-5
08-19-2021,-8
12-23-2020,-8
07-10-2018,-10
10-31-2018,-13
01-11-2022,-10
04-19-2022,-14
05-14-2021,-2
03-06-2019,-12
05-12-2020,-8
07-15-2020,1
09-30-2021,-4
10-02-2023,-12
11-07-2018,-11
07-03-2022,-15
04-05-2024,-15
07-15-2021,-1
06-23-2017,-9
05-04-2023,-18
06-01-2024,-8
01-24-2018,-4
01-12-2022,-14
10-16-2022,-5
10-11-2019,-7
04-02-2017,-14
07-03-2019,-3
06-28-2019,-5
09-19-2023,-7
12-16-2017,-3
12-28-2021,-7
01-17-2020,-7
07-15-2017,-5
03-13-2019,-7
02-05-2019,-6
02-05-2019,-6
06-18-2021,-16
04-08-2022,-15
02-17-2020,-5
06-04-2020,-2
03-09-2018,-10
04-25-2022,-7
07-11-2018,-1
05-15-2019,-1
05-26-2017,-7
03-09-2021,-4
05-24-2018,-2
01-31-2019,-6
09-21-2022,-9
12-21-2017,-13
11-20-2017,-13
03-13-2024,-17
02-09-2020,-10
06-26-2020,-2
08-20-2019,-9
01-10-2024,-16
05-11-2020,-8
12-28-2017,-9
04-03-2020,-11
10-23-2021,-6
04-04-2019,-4
10-24-2018,-6
02-08-2020,-8
05-02-2017,-10
11-29-2018,-12
06-16-2024,-16
03-14-2024,-18
10-30-2018,-7
02-16-2022,-14
10-31-2017,-6
01-09-2021,-20
06-02-2017,1
01-06-2023,-15
01-27-2022,-9
06-21-2018,-4
11-17-2017,-8
11-27-2017,-10
03-28-2020,-7
10-11-2019,-7
12-26-2021,-10
06-23-2021,-10
11-23-2022,-15
04-27-2021,-2
02-19-2022,-21
09-13-2021,3
01-26-2020,-8
07-17-2021,0
06-26-2022,-12
12-23-2021,-14
10-03-2021,-1
09-15-2023,-7
01-02-2018,-6
08-30-2021,-9
02-20-2022,-9
01-29-2021,-8
09-26-2022,-12
09-27-2022,-18
02-04-2024,-16
09-26-2021,-14
10-11-2019,-7
11-19-2022,-13
04-04-2019,-5
03-11-2023,-11
08-12-2023,-13
07-17-2022,-3
04-25-2024,-10
01-02-2024,-15
01-08-2020,-3
11-22-2018,-7
05-13-2021,-10
11-29-2019,-13
04-15-2019,-12
04-28-2018,1
04-16-2024,-9
07-11-2023,-9
10-03-2023,-13
01-17-2022,-9
06-18-2022,-9
12-05-2019,-9
01-30-2024,-14
03-03-2018,-6
05-24-2019,-4
03-30-2023,-14
01-02-2023,-12
10-10-2022,-10
01-02-2020,-6
12-11-2017,-9
10-21-2020,-9
05-19-2021,-1
06-16-2018,1
01-12-2022,-8
05-03-2018,-2
12-16-2021,-10
09-27-2021,-10
01-30-2022,-21
02-07-2020,-4
02-09-2022,-15
12-12-2021,-16
09-16-2019,2
12-05-2021,-9
09-23-2019,3
01-13-2024,-17
03-03-2018,-12
03-15-2024,-7
11-23-2021,-12
07-16-2019,3
04-02-2020,-12
12-09-2023,-13
03-02-2022,-15
04-01-2022,-11
11-29-2021,-19
04-20-2022,-11
06-12-2024,-11
03-15-2022,-12
06-15-2023,-2
06-07-2018,-4
10-23-2023,-18
05-03-2024,-7
04-06-2021,-9
06-27-2020,-3
12-08-2020,-19
06-02-2019,0
05-01-2022,0
08-30-2021,-5
08-23-2018,1
05-17-2022,-12
07-23-2020,2
10-31-2018,-4
04-02-2020,-7
07-09-2019,0
10-24-2019,-10
09-08-2017,3
09-22-2018,-5
12-06-2020,-14
03-14-2023,-15
02-17-2024,-5
05-04-2020,-9
01-04-2022,-9
07-08-2017,2
04-20-2018,-8
05-12-2018,1
01-26-2019,-10
03-18-2022,-8
03-21-2023,-18
05-22-2023,-6
11-25-2019,-10
06-03-2020,-9
03-20-2021,-7
03-29-2017,-6
05-11-2023,-3
03-20-2023,-11
07-22-2021,2
08-27-2020,-3
10-03-2018,-2
08-02-2017,0
06-05-2024,-6
08-10-2022,-9
12-24-2018,-6
12-26-2020,-10
11-25-2021,-11
03-12-2024,-18
05-10-2023,-8
12-06-2020,-17
01-21-2024,-15
07-23-2021,-9
05-25-2019,0
12-02-2020,-9
07-11-2017,3
01-20-2024,-15
10-22-2020,-5
12-26-2019,-10
09-11-2021,-8
08-08-2020,-12
04-11-2023,-15
09-30-2020,-12
12-16-2021,-17
11-20-2019,-3
02-19-2019,-9
02-28-2020,-6
07-13-2017,2
04-10-2017,-13
08-24-2021,-5
10-02-2018,-5
10-26-2023,-19
04-20-2022,-11
07-29-2022,-6
10-01-2020,-8
03-29-2024,-15
09-13-2021,1
07-09-2019,-6
08-29-2018,0
06-12-2017,4
04-27-2021,1
09-05-2020,1
04-22-2018,-4
10-26-2016,-8
11-03-2018,-7
07-29-2019,1
10-19-2021,-10
11-14-2020,-18
04-15-2023,-8
11-24-2020,-10
10-03-2023,-13
12-24-2018,-9
03-12-2021,-6
10-11-2016,-12
01-25-2019,-10
04-21-2021,-5
06-16-2023,1
10-15-2021,-14
04-21-2023,-13
08-06-2018,2
12-03-2018,-2
09-20-2021,1
02-07-2024,-15
03-23-2023,-2
07-17-2022,1
04-13-2022,-2
01-04-2022,-10
11-14-2023,-15
06-25-2022,-5
05-02-2020,-11
08-31-2021,-4
07-05-2019,-4
03-21-2024,-12
04-07-2021,-12
01-27-2022,-13
03-21-2022,-18
02-14-2022,-14
06-16-2024,-15
03-20-2024,-21
07-14-2021,-7
05-03-2024,-6
06-25-2022,-6
12-26-2022,-14
05-02-2021,-6
12-23-2020,-6
12-19-2020,-5
03-03-2024,-10
06-10-2023,-7
12-26-2017,-9
02-22-2024,-8
04-05-2021,-12
11-15-2020,-15
12-23-2021,-15
08-09-2023,-13
01-10-2024,-20
11-06-2019,-9
03-23-2023,0
05-18-2019,4
05-22-2019,0
02-06-2019,-8
12-09-2021,-11
03-11-2024,-17
04-25-2017,-4
06-24-2018,-3
06-21-2022,0
10-22-2017,0
03-11-2023,-9
06-04-2018,-6
03-15-2023,-16
11-28-2018,-9
09-29-2019,-2
12-13-2021,-18
04-27-2021,-12
03-24-2018,-8
09-07-2017,2
12-12-2023,-17
08-08-2019,4
05-11-2020,-6
05-06-2023,-11
09-23-2019,-1
02-01-2018,-6
01-21-2020,-5
11-15-2021,-10
07-03-2017,3
03-03-2018,-9
09-07-2019,-1
04-28-2024,-13
06-23-2018,-1
11-05-2023,-18
02-08-2019,-8
02-08-2020,-6
11-04-2019,0
04-07-2024,-17
10-05-2017,-5
03-22-2018,-7
07-31-2017,-2
09-14-2021,2
01-30-2022,-17
06-17-2024,-9
08-17-2018,3
06-29-2020,-7
12-13-2021,-10
12-12-2018,-6
01-28-2020,-10
12-28-2019,-9
07-07-2021,1
05-13-2024,-6
05-08-2017,0
12-03-2021,-6
01-26-2019,-10
03-09-2020,-11
11-30-2017,-9
12-03-2019,-4
12-22-2020,-17
05-02-2017,-11
08-10-2019,4
12-23-2021,-14
01-06-2023,-14
04-23-2022,3
10-07-2019,-3
12-25-2019,-8
03-20-2023,-13
04-29-2018,0
10-09-2022,-10
10-15-2021,-13
02-02-2024,-8
10-28-2018,-10
04-16-2021,-13
04-20-2019,-8
04-19-2020,-2
12-24-2021,-13
10-09-2023,-15
12-04-2017,-10
12-15-2023,-19
10-01-2021,-14
02-21-2024,-20
11-20-2019,-3
04-16-2021,-14
01-23-2022,-10
06-05-2023,-14
09-23-2022,-15
07-13-2021,0
12-19-2023,-16
01-16-2019,-10
12-29-2020,-7
10-07-2020,0
03-07-2020,-9
06-26-2022,-9
07-10-2019,-7
12-14-2023,-13
07-16-2021,-7
01-15-2023,-15
03-16-2018,-14
11-02-2019,-13
08-23-2019,-3
11-03-2019,-9
